比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
,,,,,,,,,,,,,江苏,,,,,,,待确定,,,,,,,,常州经开区半程马拉松
半程 / 短距离,,官网/微信/小程序,,4500/3500,http://www.hjmarathon.com,未提及,未提及,,houjietw@126.com,0769-85581066,深圳市五环体育产业发展有限公司 / 东莞市厚街文化传媒有限公司,,广东,A,无,,https://docimg4.docs.qq.com/image/AgAACG-qqCEJe3SC10ZHvbqBCe3sZ0jB.png?w=1080&h=1203,,厚街·名家居世博园,待确定,东莞市厚街镇人民政府,,130/60,报名时缴费,8000,,厚街半程马拉松,厚街半程马拉松
,,,,,,,,,,,,,浙江,标牌,,,,,,待确定,,,,,,,,舟山群岛半程马拉松
全程 / 半程 / 短距离,2024-08-27 12:00,官网/微信/小程序 / 運動筆記,,5000/8000/7000,https://www.khm.com.tw,未提及,未提及,,bijikhmservice@gmail.com,(886)0972896489,H2U運動筆記,,台湾,CT / AIMS / WA,无,2024-10-30 23:59,,❌,高雄国家体育场,已结束,高雄市政府運動發展局,2025-01-12 15:24,"NT$1,500/1300/500",报名时缴费,20000,,,高雄馬拉松
10km / 短距离,2025-09-11 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,,2000/1000,,未提及,自行评估,,chengxueliang@wzcqsports.cn,13311560282,王者传奇（北京）体育文化有限公司,,山西,A / WA,,2025-10-03 17:00,,❌,,取消,中国田径协会 / 晋中市人民政府,,80/50,报名时缴费,3000,,中国10公里精英赛,中国田径协会10公里精英赛（晋中站）
全程 / 半程 / 10km / 短距离,2024-06-28 15:00,官网/微信/小程序,,2000/3300/3500/7000,https://www.sportsnet.org.tw/20250119_web/,未提及,未提及,,service@sportsnet.org.tw,,,,福建,AIMS,已完成報名繳費者，如因故要取消報名，請於2024年10月30日(三)17:00前於本會上班時間（週一至週五，上午08:30至12:00；下午13:30至17:30） 提出申請，並於10月30日(三)17:00前提交退費申請書。退回金額為原繳總金額80%。如逾時申請則無論任何理由將不再受理退費事宜。,2024-10-25 17:00,"https://docimg7.docs.qq.com/image/AgAACG-qqCEXF85-0KtPPZTkrGxQsFgb.png?w=6966&h=5008, https://docimg6.docs.qq.com/image/AgAACG-qqCGJbHy5w51AxKxK3aCXMWhm.png?w=6966&h=5008",❌,金门县服务中心,已结束,金門縣政府,2025-01-19 15:20,NT$1000/900/800/200,报名时缴费,15800,,,金門馬拉松
,,官网/微信/小程序,,,,,,,,,,,海南,A,,,,,,待确定,,,,,,,,中国田径协会10公里精英赛 昌江站
,,,,10000/5000/5000,,,,,,,,,江苏,精英,,,,,,待确定,,,,,20000,,,苏州太湖马拉松
半程 / 短距离,2025-08-21 10:00,,,8000/4000,,,,,,0755-29558176,深圳市微马城市发展有限公司,,贵州,A,,,,❌,,取消,榕江县人民政府,,158/88,,12000,,,榕江半程马拉松
半程 / 短距离,2024-11-14 10:00,官网/微信/小程序 / 数字心动,,6000/6000,https://www.runthetrack.com,未提及,未提及,,info@runthetrack.com,,北京中锐体育产业有限公司,,上海,A,无,2024-11-29 23:59,,❌,上海国际赛车场,已结束,上海市嘉定区人民政府 / 上海久事体育产业发展（集团）有限公司 / 上海报业集团,2025-01-01 17:41,269/150,报名时缴费,12000,,蒸蒸日上,蒸蒸日上迎新跑
全程 / 半程 / 短距离,2025-09-19 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,6000/10000/6000,,未提及,自行评估,,hengyangmarathon@163.com,0731-88092991,湖南大众体育文化发展有限公司,,湖南,A,报名截止前可退改,2025-09-23 10:00,,❌,衡阳市体育中心体育场,取消,湖南省体育局 / 衡阳市人民政府,,169/149/89,报名时缴费,26000,,衡阳马拉松,衡阳马拉松
,,官网/微信/小程序,,,,,,,,,,,新疆,A,,,,,,待确定,,,,,,,,新疆焉耆半程马拉松暨中国田径协会10公里精英赛（焉耆站）
半程 / 10km / 短距离,2025-08-23 10:00,官网/微信/小程序 / 数字心动,,1500/1200/2500,,未提及,必须,,ysnzmarathon@163.com,19065808508,,,江西,B,,2025-09-21 10:00,,❌,,取消,铅山县人民政府,,100/60/30,报名时缴费,5200,,铅山女子马拉松,铅山女子半程马拉松
全程 / 半程 / 短距离,2025-04-30 10:00,官网/微信/小程序,,3000/10000/5000,,半程或以上,自行评估,,RockySports@163.com,18053505451,烟台落基体育有限公司 / 威海落基体育有限公司,,山东,B,,2025-10-10 12:00,https://docimg5.docs.qq.com/image/AgAACG-qqCHcDhaIC7xGO7SZf8dY2IgP.jpeg?w=1280&h=1699,❌,威·至海港湾,取消,,,179/149/79,报名时缴费,18000,,落基体育RockySports,威海马拉松
全程 / 半程 / 短距离,2025-08-22 10:00,官网/微信/小程序 / 数字心动,,7000/5000/13000,,未提及,自行评估,,stjsoc@163.com,18151697518,江苏省体育竞赛有限公司,2025-09-19 00:00,江苏,A,,2025-09-12 17:00,,✔️,徐州市体育中心(湖北路店),取消,徐州市人民政府,,180/160/80,中签后缴费,25000,,徐州马拉松,徐州马拉松
全程 / 半程 / 短距离,2024-10-22 14:00,官网/微信/小程序 / 第一赛道 / 数字心动,,5000/6000/4000,http://rg-marathon.com,半程或以上,未提及,,ronggui@gustomail.cn,18024900392,广东新中体育集团有限公司,2024-12-10 15:05,广东,A,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在报名截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：报名截止后不再受理改换项目申请，12月1日退费服务系统关闭，将不再受理任何退费申请。,2024-11-20 18:00,,✔️,广东省佛山市顺德区茶基大街海骏达广场,已结束,佛山市顺德区人民政府,2025-01-05 13:28,200/180/90,报名时缴费,15000,,顺德容桂马拉松、第一赛道,顺德容桂环岛马拉松
半程 / 中距离 / 短距离,2025-03-02 16:00,官网/微信/小程序 / 数字心动,,3000/2000/5000,https://www.jtmsmls.com,未提及,自行评估,,jtmsmls@163.com,,,,江苏,A,无,2025-03-23 16:00,,✔️,,取消,常州市金坛区人民政府 / 常州市体育局,,150/90/60,报名时缴费,10000,,金坛茅山半程马拉松、有迈路跑,金坛茅山半程马拉松
全程 / 半程 / 短距离,2025-02-05 10:00,官网/微信/小程序 / 数字心动,,2000/4000/4000,,半程或以上,自行评估,,shuangao66@163.com,010-53383535,北京双奥体育文化产业集团有限公司,,河南,B,无,2025-03-15 18:00,,❌,滑县滑园风景区,取消,滑县人民政府,,150/120/50,报名时缴费,10000,,滑县马拉松,滑县马拉松
,,官网/微信/小程序,,,,,,,,,海南今燊体育文化发展有限公司,,四川,A,,,,,,待确定,广元市人民政府 / 四川省田径协会,,,,10000,,,广元半程马拉松
全程 / 半程 / 短距离,,官网/微信/小程序,,2000/5000/3000,,,,,,,,,浙江,A,,,,,,待确定,浙江省马拉松及路跑协会 / 慈溪市人民政府,,,,10000,,,慈溪马拉松
全程,2024-09-25 10:00,官网/微信/小程序 / 数字心动,,35000,https://www.xmim.org,未提及,未提及,"https://docimg3.docs.qq.com/image/AgAACG-qqCHD3e5ipMFG_oNA9MjeVv52.jpeg?w=1242&h=2688, https://docimg3.docs.qq.com/image/AgAACG-qqCFeMnfPuvlN372oXfQ6Ecsn.png?w=924&h=658",bmc@xmim.org,0592-5372205,厦门文广体育有限公司,2024-10-21 15:25,福建,A / 白金 / AIMS,无,2024-10-15 18:00,,✔️,厦门国际会议展览中心,已结束,厦门市人民政府,2025-01-05 16:47,200,中签后缴费,35000,,厦门马拉松赛,厦门马拉松赛
全程 / 半程 / 短距离,2025-09-24 10:00,官网/微信/小程序,,5000/10000/5000,,,,,,,,,湖南,A,,2025-10-30 17:00,,✔️,,取消,湖南省体育局 / 株洲市人民政府,,150/120/60,,20000,,,株洲马拉松
半程 / 短距离,2025-07-02 18:00,官网/微信/小程序 / 数字心动 / 润赛美佳 / 马拉马拉,,7000/5000,,未提及,自行评估,,gxinwenti@163.com,13021703779,山东国信文体科技股份有限公司,,山东,B,,2025-09-15 18:00,https://docimg8.docs.qq.com/image/AgAACG-qqCGKtp9-1nNLe66TyqEJs47f.png?w=1080&h=1949,❌,黄河三角洲农产品交易服务中心,取消,滨州市人民政府,,100/30,报名时缴费,12000,,滨州半程马拉松、山东国信文体,滨州半程马拉松
全程 / 半程 / 短距离,2024-10-31 10:00,数字心动,,4000/8000/8000,https://www.sichuanbojiesports.com,半程或以上,必须,,bojiesports@126.com,13529388388,四川博捷体育文化传播有限公司,,云南,A,无,2024-12-15 22:00,,❌,普洱大剧院,已结束,云南省体育局 / 普洱市人民政府,2025-01-12 14:33,150/120/60,报名时缴费,20000,,博捷体育、普洱思茅马拉松,普洱思茅马拉松
半程 / 10km / 5km / 短距离,2024-09-30 10:00,官网/微信/小程序,,1200/3000/1500/400,https://donate.unicef.org.hk/zh-hant/run24/,未提及,未提及,,run@unicef.org.hk,(852)28336139,,,香港,HK / AIMS,无,2024-11-29 23:59,,❌,香港迪士尼乐园度假区,已结束,聯合國兒童基金會香港委員會,2025-01-12 00:00,HK$600/550/500/400,报名时缴费,6100,,,聯合國兒童基金會慈善跑
全程 / 半程,2024-11-13 07:00,官网/微信/小程序,,400/600,https://avohk.org/index.php/china-coast/,未提及,未提及,,chinacoastmarathon@gmail.com,,,,香港,AIMS,无,2024-12-15 23:59,,❌,大网仔路,已结束,香港元老田徑會,2025-01-12 15:18,HK$580/580,报名时缴费,1000,,,中國沿岸馬拉松/中國沿岸半馬拉松
10km,,官网/微信/小程序,,,,,,,,,,,山东,A,,,,,,待确定,,,,,,,,中国田径协会10公里精英赛（济南站）暨济南10公里
半程,2024-07-25 14:00,官网/微信/小程序,,8000,https://www.hzmb-halfmarathon.com/,未提及,未提及,,hzmb-halfmarathon@hkaaa.com,(852)21772522,,2024-08-05 10:04,香港,HK / 金标 / AIMS,无,2024-08-01 18:00,,✔️,港珠澳大桥香港口岸,已结束,中国香港田径总会,2025-01-05 09:47,610(US$65),中签后缴费,8000,,,港珠澳大橋（香港段）半馬拉松
全程 / 半程 / 短距离,2024-12-18 10:00,官网/微信/小程序 / 数字心动 / 第一赛道 / 健步圈,,3000/3000/6000,,全程 / 半程或以上,必须,,WanfenglinMalasong@163.com,15338697179,,,贵州,B,无,2025-01-16 15:00,,❌,阳光谷旅游度假区,已结束,贵州省体育局 / 黔西南州人民政府,2025-02-09 13:42,150/120/39,报名时缴费,12000,,万峰林马拉松,万峰林马拉松
全程 / 半程 / 中距离 / 短距离,2024-08-20 16:00,官网/微信/小程序,,4730/9270/8000/3000,http://scbmarathon2024.com/index.php,未提及,未提及,,service@sportsnet.org.tw,(886)02-2585-5659,,,台湾,AIMS,"報名後-2024年11月8日 17:00	退款比例80%	申請即受理；
2024年11月8日 17:01-2024年12月30日 17:00 退款比例60%	申請即受理；
2024年12月30日 17:01-2025年1月13日 17:00 退款比例50%	僅限下列情況並檢附證明者得以申請1. 天然或人為災害2. 交通中斷3. 兵役或點閱、教育召集4. 傷病或妊娠5. 配偶或參與者一親等內親屬喪葬",2024-10-31 16:00,,❌,总统府第二局第五科图书馆,已结束,"""中華民國路跑協會""",2025-01-12 15:38,NT$1500/1300/850/650,报名时缴费,25000,,,臺北公益馬拉松
半程 / 短距离,2025-08-15 14:00,官网/微信/小程序 / 数字心动 / 第一赛道,,4500/2000,https://xingan.sport-china.cn,半程或以上,自行评估,,xingan@gustomail.cn,,安徽盛齐体育发展有限责任公司,,广西,A,报名结束前可退出,2025-10-10 17:00,,❌,灵渠博物院,取消,桂林市体育局 / 兴安县人民政府,,120/60,报名时缴费,6500,,兴安灵渠马拉松、第一赛道,兴安灵渠半程马拉松
全程 / 半程 / 短距离,2025-02-05 17:00,官网/微信/小程序 / 数字心动,,13000/16000/20000,,未提及,现场核验,,,,河南世纪中原体育文化有限公司,2025-02-26 16:28,河南,A / 标牌,无,2025-02-17 18:00,,✔️,郑开大道,取消,河南省体育局 / 郑州市人民政府 / 开封市人民政府,,170/150/60,报名时缴费,49000,,郑开马拉松,郑开马拉松赛
全程 / 半程 / 短距离,2025-09-02 15:00,官网/微信/小程序,,3000/13500/8500,https://www.tamls.cn,马拉松项目需半程以上完赛经历 / 10km及以上,未提及,,tamls2025@163.com,15689901187,青岛青马爱跑体育文化有限公司,2025-09-26 00:00,山东,A,报名时间内，所有报名者可申请取消报名并退款。,2025-09-20 17:00,,✔️,,取消,山东省体育局 / 泰安市人民政府,,150/150/80,报名时缴费,25000,,2025泰安马拉松、青马文体 ,泰安马拉松
半程 / 短距离,2025-09-05 10:00,官网/微信/小程序 / 数字心动,,8000/2000,,未提及,自行评估,,kuaimatiyu@163.com,0311-85870001,河北快马体育科技有限公司,2025-09-23 00:00,河北,B,,2025-09-15 17:00,,✔️,,取消,河北省红十字会三献工作事务中心 / 河北省红十字会备灾救灾救助中心 / 石家庄市红十字会 / 石家庄市鹿泉区人民政府,,120/30,报名时缴费,10000,,鹿泉半程马拉松,石家庄·鹿泉半程马拉松赛
全程 / 半程 / 10km / 短距离,2024-07-15 14:00,官网/微信/小程序 / 運動筆記,,?/3000/3000/?,https://irunner.biji.co/twnmarathon2025,未提及,未提及,,irunner@biji.co,(886)0910-581659,,,台湾,AIMS,无,2024-10-22 23:59,https://docimg7.docs.qq.com/image/AgAACG-qqCFrPuSz3zdLLJU3o7l_4BlZ.png?w=1000&h=707,❌,,已结束,台灣國際馬拉松交流協會 / 亞洲馬拉松大聯盟,2025-01-05 15:40,NT$1400/1200/1000/800,报名时缴费,,,,台南國際馬拉松
半程 / 10km / 短距离,2025-07-05 10:00,官网/微信/小程序 / 数字心动,,5000/3000/2000,,,,,,,,,安徽,A / WA,,2025-08-20 10:00,,❌,,取消,中国田径协会 / 安徽省体育局 / 宣城市人民政府,,100/80/40,,10000,,,宣城半程马拉松暨中国田径协会10公里精英赛（宣城站）
全程 / 半程 / 短距离,2024-11-16 10:00,官网/微信/小程序 / 数字心动,,4000/5000/3000,,半程或以上,未提及,,maoming_marathon@126.com,18813543284,广州珠江体育文化发展股份有限公司 / 广州乐跑客文化体育发展有限公司,2024-12-14 15:48,广东,B,无,2024-12-06 17:00,,✔️,中国第一滩旅游度假区,已结束,茂名市人民政府,2025-01-05 16:57,180/160/100,报名时缴费,12000,,茂名马拉松,茂名马拉松赛
,,官网/微信/小程序,,,,,,,,,,,江苏,,,,,,,待确定,,,,,,,,苏州太湖蓝女子半程马拉松
全程 / 半程 / 短距离,2025-08-25 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷,,2000/3000/5000,,未提及,自行评估,,15662748418@163.com,15662748418,山东文旅传媒集团有限公司,,山东,A,,2025-09-15 17:00,,❌,,取消,东明县人民政府,,100/80/50,报名时缴费,10000,,速豹体育,菏泽东明马拉松
全程 / 半程 / 短距离,2025-09-29 10:00,官网/微信/小程序 / 数字心动,,4000/8000/8000,,未提及,自行评估,,,13548958510,湖南御峰体育文化集团有限公司,,湖南,A / 标牌,,2025-10-16 09:00,,❌,柳叶湖游客广场,取消,湖南省体育局 / 常德市人民政府,,150/120/80,报名时缴费,20000,,2025常德柳叶湖马拉松,常德柳叶湖马拉松
全程 / 半程 / 短距离,2024-10-17 10:00,官网/微信/小程序 / 数字心动,,1000/2000/2000,https://www.xuwenmarathon.com,半程或以上,未提及,,info@oceanwidesports.com,19903046020,广州宽洋体育产业有限公司,2024-12-06 15:47,广东,B,无,2024-11-29 16:00,,✔️,RCEP徐闻菠萝国际采购交易中心,已结束,徐闻县人民政府,2025-01-05 00:07,180/150/80,报名时缴费,5000,,宽洋体育、徐闻菠萝的海马拉松,徐闻马拉松
全程 / 半程 / 短距离,2025-08-13 10:00,官网/微信/小程序,,1500/6500/2000,,,,,,,青岛平头体育有限公司,2025-09-16 00:00,山东,A,,2025-09-05 17:00,,✔️,,取消,烟台市体育局 / 龙口市人民政府,,180/150/80,,10000,,,龙口马拉松
全程 / 半程 / 10km / 短距离,2025-09-01 10:00,官网/微信/小程序 / 数字心动,,5000/8000/3000/4000,,半程或以上,自行评估,,tongren@gustomail.cn,,,2025-10-20 00:00,贵州,A,,2025-10-15 17:00,,✔️,,取消,,,180/150/88/60,报名时缴费,20000,,梵净山马拉松,贵州铜仁·梵净山马拉松
全程 / 半程 / 10km,2024-08-21 10:00,官网/微信/小程序,,18000/24500/30900,https://www.hkmarathon.com,未提及,未提及,,hkmarathon@hkaaa.com,(852)25770800,,2024-09-04 17:27,香港,HK / 金标 / AIMS,,2024-08-30 19:00,,✔️,尖沙咀地铁站,已结束,中国香港田径总会,2025-02-09 17:36,US$90/85/70,中签后缴费,73400,,,香港馬拉松
半程 / 中距离 / 短距离,2025-09-26 09:18,官网/微信/小程序 / 数字心动,,6000/3000/6000,,未提及,自行评估,,tonglingmarathon@163.com,0562-5852589,,,安徽,A,,2025-10-14 12:00,,❌,,取消,,,120/80/50,报名时缴费,15000,,铜陵半程马拉松、铜陵马拉松,铜陵半程马拉松
,,,,,,,,,,,,,广东,,,,,,,待确定,,,,,,,,龙门半程马拉松赛
全程 / 半程 / 短距离,2025-08-05 17:00,官网/微信/小程序 / 数字心动 / 最酷,,3000/8000/4000,,未提及,自行评估,,,18569407629,,,湖南,A,10/2之前可以退出,2025-09-30 18:00,,❌,张家界市贺龙体育中心,取消,湖南省体育局 / 张家界市人民政府,,150/100/40,报名时缴费,15000,,湖南省田径协会,张家界马拉松
,,,,,,,,,,,,,江苏,精英,,,,,,待确定,,,,,,,,苏州环金鸡湖半程马拉松
,,官网/微信/小程序,,,,,,,,,,,辽宁,A,,,,,,待确定,,,,,10000,,,鞍山·千山半程马拉松
全程 / 半程 / 短距离,2025-08-25 10:00,官网/微信/小程序 / 高德地图 / 数字心动,,2000/5000/3000,http://haimenmarathon.umaysports.cn/,未提及,自行评估,,haimenmarathon@163.com,19905197127,,2025-10-10 00:00,江苏,A,,2025-09-30 18:00,,✔️,黄浦江路与太仓路交叉口,取消,,,150/120/80,报名时缴费,10000,,海门马拉松、有迈路跑,海门马拉松
,,官网/微信/小程序,,,,,,,,,,,河北,,,,,,,待确定,,,,,,,,康保马拉松
全程 / 半程 / 短距离,2024-12-28 10:00,官网/微信/小程序 / 数字心动 / 赛中赛,,5000/10000/5000,,马拉松项目需半程以上完赛经历,必须,,,,深圳中赛体育产业发展有限公司,2025-01-13 17:11,浙江,A,无,2025-01-07 18:00,,✔️,嘉兴大剧院,已结束,浙江省体育局 / 嘉兴市人民政府,2025-03-30 09:25,150/120/80,报名时缴费,20000,,嘉兴马拉松,嘉兴马拉松
全程 / 半程 / 短距离,2024-12-27 10:00,官网/微信/小程序,,25000/8000/2000,https://wuximarathon.com,未提及,未提及,,kefu@ihuipao.com,400-99-42195,无锡汇跑体育有限公司,2025-01-10 09:08,江苏,A / 金标 / AIMS,,2025-01-03 17:00,https://docimg4.docs.qq.com/image/AgAACG-qqCEXTUOefwlIAZQTYtt8HwWH.png?w=1080&h=1438,✔️,太湖西大道与隐秀路辅路交叉口,已结束,无锡市人民政府,2025-03-23 09:42,200/200/100,中签后缴费,35000,,汇跑赛事,无锡马拉松
全程 / 半程,2025-01-03 10:00,官网/微信/小程序,,15000/10000,https://www.suzhoucitymarathon.com,未提及,自行评估,"https://docimg1.docs.qq.com/image/AgAACG-qqCHiokL0mDRNgJMoghxYQ7Wa.jpeg?w=1280&h=759, https://docimg1.docs.qq.com/image/AgAACG-qqCGBJ7L7mZdDvZlgQfAk1f20.jpeg?w=1280&h=759",shanpao@xempower.com.cn,025-87775902,南京善跑体育科技有限公司,2025-01-22 23:11,江苏,A,抽签前可退，中签后不可退出,2025-01-12 17:00,https://docimg7.docs.qq.com/image/AgAACG-qqCHY6iol_LFB95UOqI4Cv0lJ.jpeg?w=1077&h=762,✔️,狮山文化广场,已结束,苏州市人民政府,2025-03-02 17:16,200/200,报名时缴费,25000,,苏州马拉松,苏州马拉松
全程 / 半程 / 10km / 短距离,2024-12-20 10:00,官网/微信/小程序 / 数字心动,,5000/5000/2000/4000,,未提及,未提及,,,,安徽波动马拉松赛事运营管理有限公司 / 黄山波动体育赛事运营管理有限公司,2025-01-13 18:55,安徽,A / WA,无,2025-01-05 22:00,,✔️,,已结束,中国田径协会 / 芜湖市人民政府,2025-03-30 15:40,,报名时缴费,16000,,航空芜马,芜湖马拉松暨中国田径协会10公里精英赛（芜湖站）
半程 / 短距离,2025-01-22 10:00,官网/微信/小程序,,6000/2000,,半程或以上,可用完赛证书,,,0577-86626628,,,浙江,A,无,2025-02-05 17:00,,❌,,已结束,温州市体育局 / 温州市龙湾区人民政府,2025-03-30 13:14,120/60,报名时缴费,8000,,龙湾马拉松,龙湾半程马拉松
全程 / 半程 / 短距离,2024-12-31 10:00,官网/微信/小程序 / 高德地图 / 数字心动 / 跑跑网(马拉松报名) / 马拉马拉 / 最酷,,5000/7000/8000,http://www.lsmarathon.org,未提及,必须,,lishuimarathon@163.com,15157818700,浙江飞翔体育文化有限公司,,浙江,A,,2025-01-14 17:00,,❌,处州公园,已结束,丽水市人民政府,2025-03-30 00:00,150/100/50,报名时缴费,20000,,丽水马拉松,丽水马拉松
全程 / 半程 / 短距离,2025-01-24 10:00,数字心动,,12000/18000/5000,http://www.siz-marathon.com,未提及,自行评估,,sizmls@yerensports.com,0311-87710266,河北野人体育文化发展有限公司,2025-02-19 13:01,河北,A / 标牌,无,2025-02-09 17:00,,✔️,解放广场,已结束,石家庄市人民政府,2025-03-30 16:48,150/120/20,报名时缴费,35000,,石家庄马拉松赛,石家庄马拉松
半程 / 短距离,2024-12-25 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷 / 赛客 / 跑跑网(马拉松报名) / 我要赛 / 小艾爱跑,,8000/7000,,未提及,未提及,,zjslty@126.com,19979146070,浙江森狼体育发展有限公司,2025-01-25 17:51,江西,A,无,2025-01-15 23:59,,✔️,复兴大道辅路,已结束,南昌市体育局 / 南昌县人民政府,2025-03-09 09:21,100/50,报名时缴费,15000,,南昌象湖半程马拉松,南昌象湖半程马拉松
半程 / 短距离,2025-01-16 10:00,官网/微信/小程序 / 马拉马拉 / 最酷,,7000/8000,,半程或以上,可用完赛证书,,srmarathon@163.com,18720369011,江西奥立特体育文化发展有限公司,,江西,A,1.退费：完成缴费后24小时内的订单，申请退赛退费的将不收取任何费用，报名费将在申请后7个工作日内全额原路退回。2.改换项目：（1）需要更换项目的选手，需先完成退费操作后，可重新报名需改换的项目；（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：在2月15日后，退费服务系统关闭，将不再受理任何退费申请；,2025-02-15 18:00,,❌,市民公园,已结束,上饶市人民政府,2025-03-23 11:03,100/50,报名时缴费,15000,,上饶马拉松,上饶半程马拉松赛
