报名渠道,主办单位,报名开启时间,状态,赛事等级,完赛经历要求,出签日期,分项规模,起点,比赛路线,抽签,退出机制,联系电话,赛事,创建时间,官网,总规模,报名费,省份,最后编辑时间,报名截止时间,运营单位,官方邮箱,比赛项目,比赛日期,缴费时间,体检报告,微信公众号,奖牌
官网/微信/小程序 / 第一赛道,清远市人民政府 ,2026-01-16 10:00,已结束,A,半程或以上,2026-02-10 00:00,8000/12000,清远体育馆-北门,,✔️,1月31日18:00退费服务系统关闭,,清远马拉松赛,,http://www.qy-marathon.com/,20000,200/180,广东,,2026-01-31 18:00,广东新中体育集团有限公司 / 广州双鱼体育文化发展有限公司,qy@gustomail.cn,全程 / 半程,2026-03-15 00:00,报名时缴费,自行评估,第一赛道、清远马拉松,
官网/微信/小程序 / 数字心动 / 马拉马拉,武汉市黄陂区人民政府,2026-01-06 15:00,已结束,B,未提及,2026-02-04 00:00,8000,,,✔️,,17771860104,武汉空港国际商务新城半程马拉松,,,8000,120,湖北,,2026-01-26 23:59,武汉艾斯未来文化传媒有限公司,435165066@qq.com,半程,2026-03-15 00:00,报名时缴费,自行评估,武汉空港国际商务新城半程马拉松,
官网/微信/小程序 / 数字心动,眉山市人民政府 / 四川省田径协会,2025-11-10 10:00,已结束,A / 白金,未提及,2026-01-01 00:00,20000,,,✔️,,13529388388,眉山仁寿半程马拉松,,https://www.sichuanbojiesports.com,20000,200,四川,,2025-12-15 22:00,四川博捷体育文化传播有限公司,,半程,2026-03-15 00:00,中签后缴费,必须,博捷体育、眉山仁寿半程马拉松,
官网/微信/小程序 / 数字心动,成都市人民政府,2025-12-26 10:00,已结束,A,未提及,2026-01-26 00:00,15000/20000,都江堰市凤凰体育场,https://docimg2.docs.qq.com/image/AgAACG-qqCHWJ4jehOVL7aqGqPp32C5N.png?w=1280&h=2221,✔️,,400-687-7787,成都世遗马拉松,,https://chengdu.shuzixindong.com,35000,200/200,四川,,2026-01-19 18:00,北京北奥集团有限责任公司,chengdushiyimls@beiao.com,全程 / 半程,2026-03-22 00:00,中签后缴费,自行评估,成都世遗马拉松,
官网/微信/小程序 / 数字心动,重庆市长寿区人民政府,2026-01-12 14:00,已结束,A,未提及,,8000,长寿湖广场,,❌,,020-85511286,重庆长寿湖半程马拉松,,,8000,138,重庆,,2026-02-23 23:59,重庆长寿文旅运营管理股份有限公司 / 南京极致体育发展有限公司,brsmarathon@163.com,半程,2026-03-22 00:00,报名时缴费,自行评估,长寿湖体育赛事,
官网/微信/小程序 / 数字心动,自贡市人民政府 / 自贡市大安区人民政府 / 四川省田径协会,2026-01-13 10:00,已结束,A,未提及,,6000,,,❌,,0813-2303862,自贡恐龙半程马拉松,,,6000,120,四川,,2026-02-11 23:59,自贡市安途文化旅游集团有限公司,zigongmarathon@scsig.com,半程,2026-03-22 00:00,报名时缴费,必须,自贡大安体育,
官网/微信/小程序 / 汇跑参赛助手 / 数字心动,无锡市人民政府,2025-12-19 10:00,已结束,A / 金标 / AIMS,未提及,2026-01-05 09:56,27000/8000,太湖西大道与隐秀路交叉口,,✔️,有退出及候补机制,4009942195,无锡马拉松,,https://wuximarathon.com/,35000,200/200,江苏,,2025-12-25 17:00,无锡汇跑体育有限公司,kefu@ihuipao.com,全程 / 半程,2026-03-22 00:00,中签后缴费,自行评估,汇跑赛事,
官网/微信/小程序,茂名市人民政府,2025-12-05 10:00,已结束,B,半程或以上,2025-12-28 07:38,4000/6000,中国第一滩旅游度假区,,✔️,,17665235238,茂名马拉松赛,,,10000,188/168,广东,,2025-12-20 10:00,广州乐跑客文化体育发展有限公司,maoming_marathon@126.com,全程 / 半程,2026-01-18 00:00,报名时缴费,自行评估,茂名马拉松赛,
官网/微信/小程序 / 数字心动,丽水市人民政府,2025-12-26 10:00,已结束,A,未提及,,5000/10000,万地广场,,❌,,4000970160,丽水马拉松,,http://www.lsmarathon.org,15000,150/100,浙江,,2026-01-20 18:00,浙江飞翔体育文化有限公司,lishuimarathon@163.com,全程 / 半程,2026-03-22 00:00,报名时缴费,必须,丽水马拉松,
官网/微信/小程序,绵阳市人民政府 / 江油市人民政府 / 四川省田径协会,2026-01-04 09:00,已结束,A,未提及,2026-02-03 00:00,3000/7000,江油市体育中心,,✔️,,028-62077702,江油马拉松,,,10000,150/120,四川,,2026-01-31 12:00,,jiangyoumarathon@163.com,全程 / 半程,2026-03-01 00:00,报名时缴费,现场核验,江油太白杯马拉松,
官网/微信/小程序 / 马拉马拉 / 数字心动,武汉市人民政府,2025-12-12 14:00,已结束,A / 精英,未提及,2026-01-04 00:00,17000/13000,沿江大道与三阳路交叉口,,✔️,,027-88712733,武汉马拉松,,https://www.wuhanmarathon.org/,30000,200/200,湖北,,2025-12-19 14:00,武汉体育发展投资有限公司 / 武汉汉马体育管理有限公司,apply@wuhanmarathon.org,全程 / 半程,2026-03-22 00:00,中签后缴费,自行评估,武汉马拉松,
数字心动 / 马拉马拉,北京市体育局 / 北京市体育总会 / 北京市顺义区人民政府,2026-01-19 14:00,已结束,A,未提及,2026-02-06 00:00,6000,机场北线南路与裕宁路交叉口,,✔️,,010-68900260,顺义后沙峪人才社区半程马拉松,,,6000,120,北京,,2026-01-28 17:00,,,半程,2026-03-29 00:00,报名时缴费,自行评估,北京顺义峪马,
官网/微信/小程序,"""中華民國路跑協會""",2025-11-13 16:00,已结束,AIMS,竞速菁英马拉松组需4小时内马拉松完赛成绩,,500/5000,,,❌,有,(886)02-25855659,臺北國道馬拉松,,https://www.taipeifreewaymarathon.com/,5500,NT$1300/1100,台湾,,2026-01-08 17:00,,service@sportsnet.org.tw,全程 / 半程,2026-03-08 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 第一赛道,来宾市教育体育局 / 武宣县人民政府,2026-01-29 10:00,已结束,B,半程或以上,,4000,武宣县市民广场,,❌,3月8日前提供退改,,武宣半程马拉松,,https://wuxuan.sport-china.cn,4000,120,广西,,2026-03-08 18:00,广州朗朗体育文化有限公司,wuxuan@gustomail.cn,半程,2026-03-22 00:00,报名时缴费,自行评估,武宣半程马拉松,
官网/微信/小程序,香港元老田徑會,2025-10-24 12:00,已结束,AIMS,未提及,,400/600,大网仔路,,❌,无,(852)96173895,中國沿岸馬拉松及半馬拉松,,https://avohk.org/index.php/china-coast/,1000,HK$600/450,香港,,2025-12-31 12:00,,chinacoastmarathon@gmail.com,全程 / 半程,2026-01-11 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动 / 马拉马拉,广州市增城区人民政府,2025-12-02 11:00,已结束,B,未提及,,20000,增城广场,,❌,,18202007981,粤港澳大湾区女子半程马拉松,,https://www.gba-womenmarathon.com,20000,198,广东,,2025-12-15 11:00,浙江午马精英体育发展有限公司,marathon@zengcheng.gov.cn,半程,2026-01-01 00:00,报名时缴费,自行评估,粤港澳大湾区女子半程马拉松,
官网/微信/小程序,香港馬拉松推廣社,2025-12-09 20:00,已结束,WA,未提及,,,,https://docimg5.docs.qq.com/image/AgAACG-qqCHOIi5M6LZBD45-CdtM1Y6Y.png?w=295&h=284,❌,,(852)52290518,RMAC「沙田 10K」河畔賽,,https://hkmarathonpro.com/,,HK$350,香港,,2026-02-16 23:59,,hkmarathonpro@yahoo.com.hk,10km,2026-03-08 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动,石家庄市人民政府,2026-01-07 10:00,已结束,A / 标牌,未提及,2026-01-27 00:00,17000/18000,解放广场,https://docimg10.docs.qq.com/image/AgAACG-qqCFGmSLBjcxDB4Q7yP0yMYz7.jpeg?w=1280&h=853,✔️,,0311-87710266,石家庄马拉松,,http://www.sjz-marathon.com,35000,150/120,河北,,2026-01-18 17:00,河北野人体育文化发展有限公司,sjzmoc@126.com,全程 / 半程,2026-03-29 00:00,中签后缴费,自行评估,石家庄马拉松赛,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 赛客 / 跑跑网 / 智赛通 / 悦跑圈,中国田径协会 / 茂名市茂南区人民政府,2026-02-10 19:00,已结束,A / WA,未提及,2026-03-09 00:00,2000/2000,茂名市露天矿博物馆,,✔️,,17665235238,中国田径协会10公里精英赛（广东茂名·茂南站）,,,4000,100/80,广东,,2026-03-06 18:00,广州乐跑客文化体育发展有限公司,,10km / 短距离,2026-03-22 00:00,报名时缴费,自行评估,茂名茂南10K精英赛、乐跑客,
官网/微信/小程序 / 数字心动,云南省体育局 / 普洱市人民政府,2025-09-29 14:00,已结束,A,未提及,2025-12-18 00:00,3000/8000,普洱大剧院,,✔️,,13529388388,普洱思茅马拉松,,https://www.sichuanbojiesports.com,11000,180/150,云南,,2025-12-08 22:00,四川博捷体育文化传播有限公司,,全程 / 半程,2026-01-18 00:00,报名时缴费,必须,普洱思茅马拉松、博捷体育,
官网/微信/小程序,南京市人民政府,2026-01-12 10:00,已结束,A,未提及,2026-02-02 00:00,10000,青奥森林公园-南门,,✔️,,025-87775902,南京半程马拉松,,https://www.nj-halfmarathon.com,10000,200,江苏,,2026-01-21 17:00,南京善跑体育科技有限公司,nj-halfmarathon@xempower.com.cn,半程,2026-03-15 00:00,中签后缴费,自行评估,南京半程马拉松,
官网/微信/小程序 / 数字心动,南京市溧水区人民政府,2025-12-31 10:00,已结束,A,10km及以上,2026-01-06 00:00,10000,致远路与涌泉路交叉口,,✔️,,19905197127,南京溧水半程马拉松,,,10000,160,江苏,,2026-01-31 10:00,江苏有迈体育发展股份有限公司,jslsmls@163.com,半程,2026-03-22 00:00,报名时缴费,自行评估,南京溧水半程马拉松,
官网/微信/小程序 / 上马,上海市体育总会 / 上海市浦东新区人民政府 / 东浩兰生（集团）有限公司,2026-01-16 10:00,已结束,A / 金标,未提及,2026-01-27 00:00,15000,东方明珠广播电视塔,,✔️,,400-101-5879,上海半程马拉松,,https://www.shang-ma.com,15000,160,上海,,2026-01-19 14:00,,general@shmarathon.com,半程,2026-03-15 00:00,中签后缴费,自行评估,上马,
官网/微信/小程序 / 数字心动,浙江省体育局 / 宁波市人民政府,2025-12-06 10:00,已结束,A,未提及,2025-12-21 00:00,12000/15000,阳光广场,https://docimg5.docs.qq.com/image/AgAACG-qqCFR9yx71-9D1bN6mP6dXu6-.png?w=3007&h=4613,✔️,有候补退出机制,19357652870,宁波马拉松,,https://ningbomarathon.shuzixindong.com,27000,180/150,浙江,,2025-12-13 18:00,浙江大丰体育文化发展有限公司,competition@dafengsc.cn,全程 / 半程,2026-03-15 00:00,中签后缴费,自行评估,宁波马拉松,
官网/微信/小程序 / 数字心动 / 润赛美佳,重庆市万州区人民政府,2025-12-29 12:00,已结束,A,未提及,,3000/9000,重庆万州体育中心,,❌,,18008053490,重庆万州环湖马拉松,,http://www.wanzhoumls.com,12000,180/150,重庆,,2026-01-30 10:00,成都中体大健康体育文化传播有限公司,634176826@qq.com,全程 / 半程,2026-03-15 19:19,报名时缴费,必须,中体大健康、平湖万州、文旅万州,
官网/微信/小程序,孝感市人民政府,2026-01-15 15:00,已结束,A,半程或以上 / 10km及以上,2026-02-12 00:00,6000/10000,孝感市文化中心,,✔️,无,027-59266510,孝感马拉松,,,16000,180/150,湖北,,2026-02-05 15:00,湖北省体育产业集团长江赛事运营有限公司,xgmarathon@163.com,全程 / 半程,2026-03-08 00:00,报名时缴费,自行评估,孝感马拉松,
官网/微信/小程序,南昌高新技术产业开发区管委会 / 南昌市体育局,2026-02-14 10:00,已结束,B,10km及以上,,4000,天子河公园,,❌,,19079185632,南昌鄱阳湖半程马拉松,,,4000,120,江西,,2026-02-23 23:59,,pysthmarathon@163.com,半程,2026-03-15 00:00,报名时缴费,自行评估,云动山西,
官网/微信/小程序 / 数字心动,远安县人民政府,2026-01-19 15:00,已结束,B,半程或以上 / 10km及以上,,2000/4000,桃花岛,,❌,,027-59266510,远安马拉松,,https://www.ya-marathon.com,6000,150/120,湖北,,2026-02-28 17:00,武汉锋尚体育发展有限公司,yamarathon@163.com,全程 / 半程,2026-03-15 00:00,报名时缴费,自行评估,远安田野马拉松,
官网/微信/小程序,聯合國兒童基金會香港委員會,2025-09-08 10:00,已结束,HK / AIMS,,,1200/3000/1500/400,香港迪士尼乐园停车场,,❌,,(852)28336139,聯合國兒童基金會慈善跑,,https://run.unicef.org.hk/powerun/zh,6100,HK$600/550/500/400,香港,,2025-11-16 23:59,,,半程 / 10km / 5km / 短距离,2026-01-04 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动,中国田径协会 / 上海市静安区人民政府,2026-01-30 08:30,已结束,A / WA,未提及,2026-02-28 00:00,4500/300,大宁公园-北门,,✔️,,021-62676803,中国田径协会10公里精英赛（上海·静安站）,,,4800,150/100,上海,,2026-02-23 17:00,江苏苏奥体育科技有限公司,,10km,2026-03-22 00:00,报名时缴费,自行评估,上海静安半程马拉松,
官网/微信/小程序,浙江省黄龙体育中心 / 杭州市体育局 / 杭州市西湖区人民政府 / 杭州西湖风景名胜区管理委员会 / 浙江省马拉松及路跑协会,2026-01-13 14:00,已结束,A,男子半程145全程340女子半程155全程400以内,2026-01-29 14:00,10000,黄龙体育中心,https://docimg7.docs.qq.com/image/AgAACG-qqCFBT2PRa4pJHJmEvOwKFX1P.jpeg?w=1080&h=1106,✔️,,0571-87630507,西湖半程马拉松,,https://xm.zhetiyu.cn,10000,200,浙江,,2026-01-19 17:00,浙江黄龙体育发展有限公司,WLHM@zjhlsports.cn,半程,2026-03-22 00:00,中签后缴费,必须,西湖半程马拉松,
官网/微信/小程序,徐闻县人民政府,2025-09-19 10:00,已结束,B,未提及,2025-12-15 00:00,1500/3500,中国菠萝第一镇曲界菠萝交易市场,,✔️,,19903046020,徐闻马拉松,,https://www.xuwenmarathon.com,5000,180/150,广东,,2025-10-24 16:00,广州宽洋体育产业有限公司,info@oceanwidesports.com,全程 / 半程,2026-01-18 23:18,报名时缴费,自行评估,徐闻菠萝的海马拉松,
官网/微信/小程序 / 数字心动,曲靖市人民政府,2026-01-04 14:00,已结束,A,未提及,2026-02-28 00:00,3000/7000,,,✔️,,0871-65629970,曲靖罗平花海马拉松,,http://www.qujingluoping-marathon.com,10000,200/150,云南,,2026-02-23 23:59,云南行知探索体育文旅产业有限公司,luoping_marathon@126.com,全程 / 半程,2026-03-15 00:00,报名时缴费,现场查验心电图报告,曲靖罗平马拉松,
官网/微信/小程序 / 我要赛 / 跑跑网 / 最酷 / 数字心动 / 马拉马拉,中国田径协会 / 太仓市人民政府,2025-11-17 08:30,已结束,A / WA,未提及,2025-12-15 00:00,6000,太仓市娄江新城规划展示馆,,✔️,无,0512-65722565,中国田径协会10公里精英赛（苏州·太仓站）,,,6000,150,江苏,,2025-12-10 17:00,江苏苏奥体育科技有限公司,suaosports@163.com,10km,2026-01-01 17:28,报名时缴费,自行评估,太仓中德半程马拉松,
官网/微信/小程序 / 数字心动,广元市人民政府 / 四川省田径协会,2025-12-29 10:00,已结束,A,未提及,,10000,广元澳源体育中心,,❌,,19960615487,广元半程马拉松,,https://guangyuan.jinshensports.com,10000,160,四川,,2026-01-30 10:00,海南今燊体育文化发展有限公司,guangyuanmarathon@163.com,半程,2026-03-22 00:00,报名时缴费,自行评估,广元半程马拉松,
官网/微信/小程序 / 数字心动,安阳市人民政府,2026-01-08 15:22,已结束,A,半程或以上,2026-01-29 00:00,6000/14000,,,✔️,2月27日前可退,0371-86667787,安阳马拉松赛,,,20000,180/150,河南,,2026-01-20 15:22,河南世纪中原体育文化有限公司,2658719366@qq.com,全程 / 半程,2026-03-22 00:00,报名时缴费,自行评估,安阳马拉松,"https://docimg8.docs.qq.com/image/AgAACG-qqCFck90u0WxDbZT9gsviz8gy.png?w=862&h=561, https://docimg3.docs.qq.com/image/AgAACG-qqCHcnq0Pou9LfJW3kJ7wtIGI.png?w=4530&h=2861"
官网/微信/小程序 / 数字心动,中国田径协会 / 澄迈县人民政府,2025-11-19 10:00,已结束,A / WA,未提及,,5000/5000,,,❌,,19389867055,中国田径协会10公里精英赛（海南澄迈站）,,,10000,100/50,海南,,2025-12-11 17:00,海南今燊体育文化发展有限公司,13876011078@163.com,10km / 短距离,2026-01-03 00:00,报名时缴费,未提及,今粲体育,
官网/微信/小程序,澳門特別行政區政府體育局 / 澳門田徑總會 / 金沙中国有限公司,2026-01-31 09:00,已结束,MC / 标牌 / AIMS,未提及,,7000/3000,奥林匹克体育中心,,❌,,(853)28236363,澳門國際十公里長跑賽,,https://www.macao10k.com,10000,MOP200/70,澳门,,2026-02-26 20:00,,macao10k@sport.gov.mo,10km / 短距离,2026-03-15 00:00,报名时缴费,未提及,澳门体育,
官网/微信/小程序 / 第一赛道,佛山市顺德区人民政府,2025-08-22 10:00,已结束,A,半程或以上,2025-11-29 21:06,10000/8000,海骏达城,,✔️,,,顺德容桂环岛马拉松,,http://rg-marathon.com,18000,200/180,广东,,2025-10-08 22:00,广东新中体育集团有限公司,ronggui@gustomail.cn,全程 / 半程,2026-01-03 00:00,报名时缴费,自行评估,顺德容桂马拉松,
官网/微信/小程序,中国香港田径总会,2025-09-08 10:00,已结束,HK / 金标 / AIMS,马拉松组需10公里以上赛事完赛经历,2025-09-23 00:00,18000/25000/31000,尖沙咀地铁站,,✔️,,(852)25770800,香港馬拉松,,https://www.hkmarathon.com,74000,US$90/85/70,香港,,2025-09-17 19:00,,hkmarathon@hkaaa.com,全程 / 半程 / 10km,2026-01-18 17:36,中签后缴费,未提及,,
官网/微信/小程序,重庆市体育局 / 重庆市南岸区人民政府 / 重庆市巴南区人民政府,2025-08-18 10:00,已结束,A / 金标 / AIMS / CMM,半程或以上,2025-09-04 00:00,25000,,,✔️,,,重庆马拉松,,,25000,200,重庆,,2025-08-24 17:00,重庆重马体育发展有限公司,cqmarathon@163.com,全程,2026-01-18 00:00,报名时缴费,未提及,重庆马拉松、重庆重马体育,
数字心动,南京江北新区管理委员会 / 南京市浦口区人民政府,2026-01-26 15:00,已结束,A / 标牌,未提及,2026-02-14 00:00,10000/10000,南京青奥体育公园,https://docimg7.docs.qq.com/image/AgAACG-qqCEOBUvQzqBCn5zOAqljt3VV.jpeg?w=1280&h=1809,✔️,,025-58118026,南京北岸马拉松,,,20000,150/120,江苏,,2026-02-10 17:00,,,全程 / 半程,2026-03-08 00:00,报名时缴费,自行评估,北岸文旅,
官网/微信/小程序,明愛之友,2025-12-11 00:00,已结束,HK / WA,未提及,,,高锟会议中心,"https://docimg4.docs.qq.com/image/AgAACG-qqCFXVkeRslFDKYf2hv7Ii1Tw.png?w=832&h=832, https://docimg6.docs.qq.com/image/AgAACG-qqCE_VaniAapE0pGC3ER1GTJn.png?w=832&h=832",❌,,(+852)66604683,明愛之友慈善跑,,https://runwithlove.org.hk/zh-hant/,,HK$350,香港,,2026-01-16 23:59,,foc_event@caritas.org.hk,10km / 5km / 短距离,2026-02-01 00:00,报名时缴费,未提及,,
官网/微信/小程序,"""中華民國路跑協會""",2025-08-21 16:00,已结束,AIMS,未提及,,4700/9300/9000/3000,总统府第二局第五科图书馆,,❌,有,(886)02-2585-5659,臺北公益馬拉松,,http://scbmarathon2024.com/index.php,26000,NT$1500/1300/850/650,台湾,,2025-10-30 16:00,,service@sportsnet.org.tw,全程 / 半程 / 中距离 / 短距离,2026-01-11 00:00,报名时缴费,未提及,,
官网/微信/小程序,"新北市政府 / ""中華民國田徑協會""",2025-10-17 12:00,已结束,CT / 金标 / AIMS,未提及,2025-11-03 00:00,6000/5000,,,✔️,2025年12月19日前可退60%报名费 ,(886)0958-725-204,新北市万金石马拉松,,https://wanjinshi-marathon.com.tw/,11000,NT$1500/800,台湾,,2025-10-30 12:00,動能策略行銷有限公司,wanjinshimarathon@gmail.com,全程 / 10km,2026-03-15 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动,上海市崇明区人民政府,2026-01-12 12:00,已结束,A,10km及以上,2026-02-05 00:00,4900,上海中华职业技术学院,,✔️,,021-50922526,上海长江半程马拉松,,https://www.world550.com,4900,200,上海,,2026-01-20 18:00,戈友文化传媒（上海）有限公司,,半程,2026-03-22 00:00,报名时缴费,自行评估,550体育、运动崇明,
官网/微信/小程序 / 数字心动,厦门市人民政府,2025-09-17 10:00,已结束,A / 白金 / AIMS,未提及,2025-10-14 00:00,35000,厦门国际会议展览中心,,✔️,2025年12月22日18时前可退出,0592-5372205,厦门马拉松,,https://www.xmim.org/,35000,200,福建,,2025-10-09 18:00,厦门文广体育有限公司,bmc@xmim.org,全程,2026-01-11 10:39,中签后缴费,自行评估,厦门马拉松赛,
官网/微信/小程序 / 数字心动 / 第一赛道,贵州省体育局 / 黔西南州人民政府,2026-01-10 14:00,已结束,B,半程或以上 / 10km及以上,2026-02-26 00:00,3000/3000,阳光谷旅游度假区,,✔️,,15338697179,万峰林马拉松,,,6000,128/98,贵州,,2026-02-10 18:00,,WanfenglinMalasong@163.com,全程 / 半程,2026-03-15 00:00,报名时缴费,必须,万峰林马拉松,
官网/微信/小程序,金門縣政府,2025-07-23 18:00,已结束,AIMS,未提及,,2000/3300/3500,金门县服务中心,,❌,有,,金門馬拉松,,https://www.sportsnet.org.tw/20250119_web/,8800,NT$1000/900/800,福建,,2025-10-16 23:59,,service@sportsnet.org.tw,全程 / 半程 / 10km,2026-01-25 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 赛中赛 / 数字心动 / 跑跑网,桐乡市人民政府,2025-12-26 10:00,已结束,A,未提及,2026-01-26 00:00,12000,李宁体育园,,✔️,1月25日12时前可退,1772662515,桐乡半程马拉松,,https://tongxiang-marathon.cn,12000,120,浙江,,2026-01-16 18:00,深圳中赛体育产业发展有限公司,txbcmls@zhongsaisports.com,半程,2026-03-22 00:00,报名时缴费,自行评估,桐乡半程马拉松,
官网/微信/小程序 / 第一赛道 / 数字心动,宁波市奉化区人民政府,2025-12-18 10:00,已结束,A,半程或以上,2026-01-10 00:00,5000/8000,奉化体育中心,,✔️,,13534392052,奉化马拉松,,https://www.fenghuataohuamarathon.com,13000,160/130,浙江,,2026-01-05 18:00,路越（上海）体育发展有限公司,fenghuamarathon@luyuesport.com,全程 / 半程,2026-03-22 19:48,中签后缴费,可用完赛证书,奉化马拉松,https://docimg3.docs.qq.com/image/AgAACG-qqCED39kgaFVFzaPGrB7kxI8i.jpeg?w=4096&h=1771
