分项规模,报名费,创建人,创建时间,官网,状态,省份,赛事等级,主办单位,报名开启时间,官方邮箱,奖牌,微信公众号,联系电话,开赛日期,最后编辑人,比赛项目,抽签,出签日期,运营单位,总规模,起点,最后编辑时间,赛事名称,比赛路线,报名截止时间
6000/9000/20000,,,,,已结束,山东,A1 / 金标 / AIMS,山东省体育局 / 东营市人民政府,2024-07-15 10:00,,,,,2024-10-20 23:20,,全程 / 半程 / 短距离,❌,,,35000,,,黄河口（东营）马拉松,,2024-07-30 17:00
7000,100,,,https://www.shang-ma.com,已结束,上海,A1 / 金标,上海市普陀区人民政府 / 东浩兰生（集团）有限公司 / 上海市体育总会,2024-09-10 15:00,general@shmarathon.com,,上马,,2024-10-27 23:24,,10km,✔️,2024-09-20 15:03,上海东浩兰生赛事管理有限公司,7000,,,上海10公里精英赛,,2024-09-13 15:00
1500/2000/1500,160/120/100,,,,已结束,河北,A1,怀来县人民政府,2024-08-01 10:00,,,奥盈体育,13071117160,2024-09-08 09:54,,全程 / 半程 / 短距离,❌,,中奥智胜（北京）体育发展有限公司,7000,官厅水库国家湿地公园,,官厅湖马拉松,,2024-08-19 23:59
4000/2000,120/60,,,,已结束,天津,A1,天津市静海区人民政府 / 天津市体育局,2024-06-06 10:00,tuanbohuzhichun@163.com,,团泊湖马拉松官方号,13132082922,2024-09-22 17:45,,半程 / 短距离,❌,,北京初美体育文化发展有限公司,6000,天津国际网球中心,,天津团泊湖半程马拉松,,2024-07-06 17:00
3000/7000,98/38,,,,已结束,贵州,B类,贵州省体育局 / 中国移动通信集团工会 / 黔西南州人民政府 / 中国移动通信集团贵州分公司,2024-08-15 14:00,WanfenglinMalasong@163.com,,万峰林马拉松,15338697179,2024-10-19 16:31,,半程 / 短距离,❌,,,10000,,,贵州移动万峰林半程马拉松邀请赛,,2024-09-30 18:00
2000/3000/5000,120/100/50,,,,已结束,江西,A1,江西省体育局 / 吉安市人民政府,2024-08-16 10:00,jgsmls@126.com,,井冈山马拉松、中赛体育Sports,0796-2083369,2024-10-13 16:06,,全程 / 半程 / 短距离,❌,,深圳中赛体育产业发展有限公司,10000,井冈山市人民政府,,井冈山马拉松,,2024-09-20 10:00
5000/10000/5000,180/140/80,,,http://www.yt42195.com,已结束,山东,B类,烟台市人民政府 / 烟台市体育局,2024-06-13 09:00,,,永辉体育,0535-6936633,2024-10-20 14:28,,全程 / 半程 / 短距离,❌,,烟台永辉体育发展有限公司,20000,烟台滨海广场,,烟台马拉松,,2024-07-26 23:59
2500/4500/3000,180/140/80,,,http://www.yt42195.com,已结束,山东,B类,海阳市人民政府 / 烟台市体育局,2024-06-07 12:00,,https://docimg1.docs.qq.com/image/AgAACG-qqCE3B1PyItpJbaIkzg5f7pnN.png?w=1080&h=8217,永辉体育,0535-6936633,2024-09-22 14:36,,全程 / 半程 / 短距离,❌,,烟台永辉体育发展有限公司,10000,海阳凤凰广场,,海阳马拉松,https://docimg3.docs.qq.com/image/AgAACG-qqCFs_ASVGVNECp7krEYCmiS6.png?w=1080&h=885,2024-08-15 23:59
4000/6500/4500,150/120/30,,,,已结束,辽宁,A1,辽宁省体育局 / 丹东市人民政府,2024-08-05 10:00,3383641650@qq.com,,丹东文旅之声,0415-2211056,2024-09-22 09:16,,全程 / 半程 / 短距离,❌,,,15000,丹东市第十三中学,,丹东鸭绿江马拉松,https://docimg6.docs.qq.com/image/AgAACG-qqCEDisoQHTxE3bjxdGL3dAJp.jpeg?w=1080&h=1709,2024-08-31 10:00
10000,200,,,https://www.haidian-marathon.com,已结束,北京,A1,北京市体育局 / 北京市海淀区人民政府,2024-08-15 10:00,haidianmarathon@163.com,,海淀马拉松,18511942195,2024-10-27 11:21,,全程,✔️,2024-09-20 14:41,北京中锐体育产业有限公司,10000,中关村壹号,,海淀马拉松,,2024-08-30 17:00
1600/8400,100/60,,,https://jinchangmarathon.cn,已结束,甘肃,A2,金昌市人民政府,2024-07-13 11:00,,,金昌半程马拉松,0931-8100300,2024-09-16 11:08,,半程 / 短距离,❌,,甘肃行者体育管理有限公司,10000,人民文化广场,,金昌半程马拉松,,2024-08-23 18:00
7000,150,,,http://lushanmarathon.umaysports.cn/,已结束,江西,A1,九江市人民政府,2024-08-09 12:00,lushanmarathon@163.com,,庐山半程马拉松赛,19905197127,2024-10-20 13:10,,半程,✔️,2024-09-06 09:36,江苏有迈体育发展股份有限公司,7000,庐山牯岭街心公园,,庐山半程马拉松,,2024-08-31 22:00
5000/5000,120/50,,,,已结束,贵州,A1,贵州省体育局 / 毕节市人民政府,2024-07-03 14:00,weining@gustomail.cn,https://docimg5.docs.qq.com/image/AgAACG-qqCEb--HJamVKS7qB2KKSMA6A.png?w=2940&h=2250,第一赛道、威宁半程马拉松,,2024-08-11 17:58,,半程 / 短距离,❌,,广东新中体育集团有限公司,10000,乌撒广场,,威宁半程马拉松,https://docimg5.docs.qq.com/image/AgAACG-qqCHRfweYH4hAiLEQIqW8lh8A.png?w=1080&h=856,2024-07-26 18:00
10000/5000,150/100,,,http://kunming-marathon.com/,已结束,云南,标牌,云南省体育局 / 昆明市人民政府,2024-08-12 10:00,kmbcmls@163.com,,昆明高原国际半程马拉松赛、有迈路跑,19905197127,2024-09-22 00:00,,半程 / 短距离,✔️,2024-08-28 16:36,江苏有迈体育发展股份有限公司,15000,拓东体育场,,昆明半程马拉松,,2024-08-23 23:59
4000/2000,100/50,,,https://www.orient-winning.com/,已结束,陕西,A1,陕西省体育局 / 延安市人民政府,2024-07-25 10:00,nanniwanmarathon@163.com,,威赢赛事,19992913375,2024-09-22 17:31,,半程 / 短距离,✔️,2024-08-10 00:08,威赢赛事运营有限公司,6000,南泥湾党徽广场,,南泥湾半程马拉松,,2024-08-05 12:00
17000/8000/5000,200/150/100,,,https://www.tianjin-marathon.com,已结束,天津,B类,天津市人民政府,2024-08-26 10:00,oc@tianjin-marathon.com,,天津马拉松,13146921229,2024-10-20 17:33,,全程 / 半程 / 短距离,✔️,2024-09-08 09:05,中奥路跑(北京)体育管理有限公司,30000,天津大礼堂,,天津马拉松,,2024-09-02 10:00
5000/5000,120/30,,,http://www.sjzwomens-marathon.com,已结束,河北,A1,石家庄市人民政府,2024-08-19 10:00,sjzwomens_marathon@163.com,,野人体育,0311-87710266,2024-10-27 09:54,,半程 / 短距离,✔️,2024-09-14 10:32,河北野人体育文化发展有限公司,10000,正定古城,,石家庄女子半程马拉松赛,,2024-09-06 17:00
7000/10000/5000/10000,198/148/80/60,,,http://liupanshui.sites.irunner.mobi/,已结束,贵州,A1 / 精英,六盘水市人民政府 / 贵州省体育局,2024-05-24 15:00,gzlpsmb@163.com,https://docimg3.docs.qq.com/image/AgAACG-qqCFv0frLI1hNQZCBB2-pptm3.png?w=968&h=717,凉都六盘水马拉松,0858-8221131,2024-08-04 17:06,,全程 / 半程 / 中距离 / 短距离,✔️,2024-06-12 10:23,,32000,人民广场,,六盘水马拉松,https://docimg5.docs.qq.com/image/AgAACG-qqCHcITucqAdOJ5iMsACyUSUm.jpeg?w=12288&h=8299.020137649759,2024-06-03 18:00
4000/6000,120/60,,,https://bojiesports.com,已结束,云南,A1,云南省体育局 / 大理白族自治州人民政府,2024-07-15 10:00,xiaohetangshui2023@163.com,,博捷体育,13529388388,2024-09-22 11:22,,半程 / 短距离,❌,,云南博捷体育赛事策划有限公司,10000,好来世纪,,大理小河淌水半程马拉松,,2024-08-15 22:00
3000/6000,180/120,,,,已结束,北京,A1,北京市体育局 / 北京市怀柔区人民政府,2024-08-08 08:08,,,怀柔长城马拉松,,2024-09-22 13:46,,全程 / 半程,✔️,2024-08-24 11:30,,9000,北京雁栖湖国际会展中心,,怀柔长城马拉松,,2024-08-29 23:59
8000/4000,150/80,,,https://www.xining-marathon.com,已结束,青海,B类,西宁市人民政府 / 西宁市城西区人民政府,2024-06-17 10:00,relay@42195.com,"https://docimg6.docs.qq.com/image/AgAACG-qqCGlFUCTZ1ZKypHXxZXRv8-N.webp?w=1280&h=4357, https://docimg7.docs.qq.com/image/AgAACG-qqCH9o_UI2FNMTayUCpmI7yRi.webp?w=1280&h=2998",2024年西宁半程马拉松,028-83419663,2024-08-25 18:00,,半程 / 短距离,❌,,成都双遗体育产业发展有限公司,12000,青海体育中心,,西宁半程马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCERmg4b-FpBpY6C45o_7bTe.png?w=12288&h=4582.165932949543,2024-07-31 17:00
13000/16000/11000,180/150/60,,,http://www.tymarathon.com/,已结束,山西,A1 / 金标,山西省体育局 / 太原市人民政府,2024-07-29 10:00,taimabaoming@163.com,,太原马拉松,18835194219,2024-09-22 23:15,,全程 / 半程 / 短距离,✔️,2024-08-23 10:11,开承体育文化产业（重庆）有限公司,40000,太原火车站,,太原马拉松赛,,2024-08-16 23:59
3000/6000/6000,150/120/60,,,https://wf.xcmsports.com,已结束,山东,A1,潍坊市人民政府 / 潍坊峡山生态经济开发区管理委员会,2024-08-28 15:00,wfmalasong@163.com,,文广体育赛事,0536-2998639,2024-10-20 15:15,,全程 / 半程 / 短距离,❌,,山东广播电视台 / 厦门文广体育有限公司 / 潍坊市广播电视台,15000,人民广场,,潍坊马拉松,,2024-09-05 18:00
7000/9000,150/120,,,https://www.symarathon.com,已结束,辽宁,A1 / 精英,辽宁省体育局 / 沈阳市人民政府,2024-07-18 10:00,sy_marathon@163.com,,2024沈阳马拉松,18202420743,2024-09-16 00:00,,全程 / 半程,✔️,2024-08-08 18:50,北京中锐体育产业有限公司,16000,沈阳奥林匹克体育中心,,沈阳马拉松,,2024-08-01 17:00
500/600/900,120/100/60,,,,已结束,新疆,B类,沙雅县人民政府,2024-09-28 10:00,,,沙雅胡杨马拉松,13239830421,2024-10-20 00:00,,全程 / 半程 / 短距离,❌,,,2000,塔里木河湿地旅游景区·原始胡杨林生态文化景区,,沙雅马拉松,,2024-10-04 00:00
10000/10000,150/50,,,http://www.hengshuilakemarathon.com/,已结束,河北,A1 / 金标 / AIMS,河北省体育局 / 衡水市人民政府,2024-07-20 10:00,hsmarathon@163.com,,衡水湖马拉松赛,0318-8883194,2024-09-22 22:51,,全程 / 短距离,✔️,2024-08-20 16:21,北京中迹体育管理有限公司 / 衡水市祥云体育文化传播有限公司,20000,衡水湖·马拉松广场,,衡水湖马拉松赛,,2024-07-25 18:00
3000/10000/7000,150/100/60,,,,已结束,江苏,A1,江苏省体育局 / 中共江苏省委宣传部 / 泰州市人民政府,2024-08-12 10:00,tz-marathon@xempower.com.cn,,泰州马拉松,025-87775902,2024-10-20 16:48,,全程 / 半程 / 短距离,✔️,2024-09-20 10:27,南京善跑体育科技有限公司,20000,泰州体育公园,,泰州马拉松,,2024-09-08 18:00
5000/3000,100/50,,,,已结束,天津,A1,天津市体育局 / 天津市宁河区人民政府,2024-07-16 14:00,qlhmls@163.com,,宁河七里海马拉松,18661635367,2024-09-16 10:58,,半程 / 短距离,❌,,山东文旅传媒集团有限公司,8000,七里海大道,,天津宁河七里海半程马拉松,,2024-07-31 17:00
4000/4000,100/60,,,http://lanzhouxinqumarathon.com,已结束,甘肃,A1,兰州新区管理委员会,2024-07-25 10:00,xqbcmls@163.com,https://docimg1.docs.qq.com/image/AgAACG-qqCFnkOAn1WlC-5zOpU5nfBF8.jpeg?w=1080&h=538,兰州新区半程马拉松,0931-8100500,2024-09-01 23:13,,半程 / 短距离,❌,,甘肃行者体育管理有限公司,8000,栖霞湖,,兰州新区半程马拉松,https://docimg8.docs.qq.com/image/AgAACG-qqCFWkXq1CWlC2ZwKiP915zlt.jpeg?w=3437&h=2551,2024-08-07 00:00
3000/7000,120/60,,,,已结束,贵州,B类,贵州省体育局 / 黔西南州人民政府,2024-07-03 14:00,WanfenglinMalasong@163.com,,万峰林马拉松,0859-3374058,2024-09-01 23:33,,半程 / 短距离,✔️,2024-08-06 17:00,,10000,阳光谷旅游度假区,,万峰林半程马拉松,,2024-08-01 18:00
2000/5000/3000,200/150/80,,,,已结束,云南,A1,云南省体育局 / 玉溪市人民政府,2024-07-15 10:00,kunyushuangcheng@163.com,,博捷体育,17783954572,2024-10-05 15:22,,全程 / 半程 / 短距离,✔️,2024-09-01 15:24,四川博捷体育文化传播有限公司,10000,聂耳音乐广场,,玉溪马拉松,,2024-08-20 22:00
6000/4000,120/60,,,http://xinbeimarathon.umaysports.cn/,已结束,江苏,A1,常州市新北区人民政府 / 常州市体育局,2024-09-10 10:00,xinbeimarathon@163.com,,新北半程马拉松、有迈路跑,19905197127,2024-11-17 13:23,,半程 / 短距离,❌,,江苏有迈体育发展股份有限公司,10000,新龙生态林核心区,,常州新北半程马拉松,,2024-10-31 23:59
,,,,,已结束,安徽,A1,蚌埠市人民政府 / 安徽省体育局,2024-07-17 10:00,,,,,2024-11-03 13:33,,全程 / 半程 / 短距离,❌,,安徽波动体育文化科技有限公司,14000,,,蚌埠马拉松,,2024-08-31 10:00
4000/8000/8000,150/120/30,,,,已结束,湖北,A1,湖北省体育局 / 孝感市人民政府,2024-08-13 15:00,xgmarathon@163.com,,孝感马拉松,13044802661,2024-10-27 14:04,,全程 / 半程 / 短距离,✔️,2024-09-20 09:58,广州博润体育科技有限公司,20000,孝感市文化中心,,孝感马拉松,,2024-09-13 10:00
5500/3000/5000,100/80/50,,,,已结束,安徽,A1,铜陵市人民政府 / 安徽省体育局,2024-07-16 09:18,tonglingmarathon@163.com,,铜陵马拉松、铜陵半程马拉松,0562-5852589,2024-11-17 13:47,,半程 / 10km / 短距离,❌,,安徽联泰传媒有限公司,13500,铜陵市体育中心,,铜陵半程马拉松,,2024-10-15 15:00
12000,140,,,https://bjtz-halfmarathon.xempower.cn,已结束,北京,标牌,北京市体育局 / 北京市通州区人民政府 / 北京市国有资产经营有限责任公司,2024-10-10 16:00,bjmsc@beiao.com,https://docimg9.docs.qq.com/image/AgAACG-qqCF0a97nxSpAJa3Fwd14shPn.jpeg?w=1280&h=788,北京通州运河半程马拉松,010-69559928,2024-11-10 14:05,,半程,✔️,2024-10-24 10:55,,12000,紫运西路,,北京通州运河半程马拉松,https://docimg2.docs.qq.com/image/AgAACG-qqCGYu0OEkLRG4ZIgdA29i-z_.jpeg?w=1280&h=967,2024-10-17 20:00
6000/1000/3000,120/80/60,,,,已结束,江苏,A1,江阴市人民政府,2024-08-17 10:00,1472901668@qq.com,,,18915389021,2024-11-10 00:28,,半程 / 10km / 短距离,✔️,2024-09-20 00:31,江阴市澄和体育产业发展有限公司,10000,新郁西路,,江阴新桥镇半程马拉松,,2024-09-10 15:00
18000/8000,80/50,,,,已结束,安徽,A1,安徽省体育局 / 阜阳市人民政府,2024-08-23 10:00,,,阜阳旅游,,2024-11-10 16:13,,10km / 短距离,❌,,安徽波动马拉松赛事运营管理有限公司,26000,霞光大道,,中国田径协会10公里精英赛 （阜阳站）,,2024-09-20 15:00
