官方邮箱,起点,运营单位,抽签,最后编辑人,状态,分项规模,赛事,最后编辑时间,创建人,完赛经历要求,报名费,体检报告,联系电话,省份,赛事等级,创建时间,报名渠道,比赛路线,主办单位,奖牌,官网,比赛日期,缴费时间,退出机制,比赛项目,出签日期,总规模,微信公众号,报名开启时间,报名截止时间
shuangao66@163.com,滑县滑园风景区,北京双奥体育文化产业集团有限公司,❌,,取消,2000/4000/4000,滑县马拉松,,,半程或以上,150/120/50,自行评估,010-53383535,河南,B,,官网/微信/小程序 / 数字心动,,滑县人民政府,,,,报名时缴费,无,全程 / 半程 / 短距离,,10000,滑县马拉松,2025-02-05 10:00,2025-03-15 18:00
bijikhmservice@gmail.com,高雄国家体育场,H2U運動筆記,❌,,已结束,5000/8000/7000,高雄馬拉松,,,未提及,"NT$1,500/1300/500",未提及,(886)0972896489,台湾,CT / AIMS / WA,,官网/微信/小程序 / 運動筆記,,高雄市政府運動發展局,,https://www.khm.com.tw,2025-01-12 15:24,报名时缴费,无,全程 / 半程 / 短距离,,20000,,2024-08-27 12:00,2024-10-30 23:59
,,深圳市微马城市发展有限公司,❌,,取消,8000/4000,榕江半程马拉松,,,,158/88,,0755-29558176,贵州,A,,,,榕江县人民政府,,,,,,半程 / 短距离,,12000,,2025-08-21 10:00,
WanfenglinMalasong@163.com,阳光谷旅游度假区,,❌,,已结束,3000/3000/6000,万峰林马拉松,,,全程 / 半程或以上,150/120/39,必须,15338697179,贵州,B,,官网/微信/小程序 / 数字心动 / 第一赛道 / 健步圈,,贵州省体育局 / 黔西南州人民政府,,,2025-02-09 13:42,报名时缴费,无,全程 / 半程 / 短距离,,12000,万峰林马拉松,2024-12-18 10:00,2025-01-16 15:00
,,,,,待确定,,鞍山·千山半程马拉松,,,,,,,辽宁,A,,官网/微信/小程序,,,,,,,,,,10000,,,
maoming_marathon@126.com,中国第一滩旅游度假区,广州珠江体育文化发展股份有限公司 / 广州乐跑客文化体育发展有限公司,✔️,,已结束,4000/5000/3000,茂名马拉松赛,,,半程或以上,180/160/100,未提及,18813543284,广东,B,,官网/微信/小程序 / 数字心动,,茂名市人民政府,,,2025-01-05 16:57,报名时缴费,无,全程 / 半程 / 短距离,2024-12-14 15:48,12000,茂名马拉松,2024-11-16 10:00,2024-12-06 17:00
hkmarathon@hkaaa.com,尖沙咀地铁站,,✔️,,已结束,18000/24500/30900,香港馬拉松,,,未提及,US$90/85/70,未提及,(852)25770800,香港,HK / 金标 / AIMS,,官网/微信/小程序,,中国香港田径总会,,https://www.hkmarathon.com,2025-02-09 17:36,中签后缴费,,全程 / 半程 / 10km,2024-09-04 17:27,73400,,2024-08-21 10:00,2024-08-30 19:00
,,,,,待确定,,常州经开区半程马拉松,,,,,,,江苏,,,,,,,,,,,,,,,,
,,,,,待确定,,中国田径协会10公里精英赛（济南站）暨济南10公里,,,,,,,山东,A,,官网/微信/小程序,,,,,,,,10km,,,,,
ronggui@gustomail.cn,广东省佛山市顺德区茶基大街海骏达广场,广东新中体育集团有限公司,✔️,,已结束,5000/6000/4000,顺德容桂环岛马拉松,,,半程或以上,200/180/90,未提及,18024900392,广东,A,,官网/微信/小程序 / 第一赛道 / 数字心动,,佛山市顺德区人民政府,,http://rg-marathon.com,2025-01-05 13:28,报名时缴费,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在报名截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：报名截止后不再受理改换项目申请，12月1日退费服务系统关闭，将不再受理任何退费申请。,全程 / 半程 / 短距离,2024-12-10 15:05,15000,顺德容桂马拉松、第一赛道,2024-10-22 14:00,2024-11-20 18:00
,,,❌,,取消,3000/4000/5000,亳州马拉松,,,,,,,安徽,A / 标牌,,,,安徽省体育局 / 亳州市人民政府,,,,,,全程 / 半程 / 短距离,,12000,,2025-09-09 10:00,2025-10-09 23:59
tonglingmarathon@163.com,,,❌,,取消,6000/3000/6000,铜陵半程马拉松,,,未提及,120/80/50,自行评估,0562-5852589,安徽,A,,官网/微信/小程序 / 数字心动,,,,,,报名时缴费,,半程 / 中距离 / 短距离,,15000,铜陵半程马拉松、铜陵马拉松,2025-09-26 09:18,2025-10-14 12:00
,,,,,待确定,,新疆焉耆半程马拉松暨中国田径协会10公里精英赛（焉耆站）,,,,,,,新疆,A,,官网/微信/小程序,,,,,,,,,,,,,
,,,,,待确定,,苏州环金鸡湖半程马拉松,,,,,,,江苏,精英,,,,,,,,,,,,,,,
,郑开大道,河南世纪中原体育文化有限公司,✔️,,取消,13000/16000/20000,郑开马拉松赛,,,未提及,170/150/60,现场核验,,河南,A / 标牌,,官网/微信/小程序 / 数字心动,,河南省体育局 / 郑州市人民政府 / 开封市人民政府,,,,报名时缴费,无,全程 / 半程 / 短距离,2025-02-26 16:28,49000,郑开马拉松,2025-02-05 17:00,2025-02-17 18:00
bmc@xmim.org,厦门国际会议展览中心,厦门文广体育有限公司,✔️,,已结束,35000,厦门马拉松赛,,,未提及,200,未提及,0592-5372205,福建,A / 白金 / AIMS,,官网/微信/小程序 / 数字心动,,厦门市人民政府,"https://docimg3.docs.qq.com/image/AgAACG-qqCHD3e5ipMFG_oNA9MjeVv52.jpeg?w=1242&h=2688, https://docimg3.docs.qq.com/image/AgAACG-qqCFeMnfPuvlN372oXfQ6Ecsn.png?w=924&h=658",https://www.xmim.org,2025-01-05 16:47,中签后缴费,无,全程,2024-10-21 15:25,35000,厦门马拉松赛,2024-09-25 10:00,2024-10-15 18:00
,,,,,待确定,,苏州太湖蓝女子半程马拉松,,,,,,,江苏,,,官网/微信/小程序,,,,,,,,,,,,,
,,,❌,,取消,5000/3000/2000,宣城半程马拉松暨中国田径协会10公里精英赛（宣城站）,,,,100/80/40,,,安徽,A / WA,,官网/微信/小程序 / 数字心动,,中国田径协会 / 安徽省体育局 / 宣城市人民政府,,,,,,半程 / 10km / 短距离,,10000,,2025-07-05 10:00,2025-08-20 10:00
run@unicef.org.hk,香港迪士尼乐园度假区,,❌,,已结束,1200/3000/1500/400,聯合國兒童基金會慈善跑,,,未提及,HK$600/550/500/400,未提及,(852)28336139,香港,HK / AIMS,,官网/微信/小程序,,聯合國兒童基金會香港委員會,,https://donate.unicef.org.hk/zh-hant/run24/,2025-01-12 00:00,报名时缴费,无,半程 / 10km / 5km / 短距离,,6100,,2024-09-30 10:00,2024-11-29 23:59
xingan@gustomail.cn,灵渠博物院,安徽盛齐体育发展有限责任公司,❌,,取消,4500/2000,兴安灵渠半程马拉松,,,半程或以上,120/60,自行评估,,广西,A,,官网/微信/小程序 / 数字心动 / 第一赛道,,桂林市体育局 / 兴安县人民政府,,https://xingan.sport-china.cn,,报名时缴费,报名结束前可退出,半程 / 短距离,,6500,兴安灵渠马拉松、第一赛道,2025-08-15 14:00,2025-10-10 17:00
dezhou-marathon@163.com,德州市体育公园,北京中锐体育产业有限公司,✔️,,取消,5000/8000/7000,德州马拉松,,,未提及,180/150/70,自行评估,17862601988,山东,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,山东省体育局 / 德州市人民政府,,https://www.dezhoumarathon.com,,报名时缴费,,全程 / 半程 / 短距离,,20000,德州马拉松,2025-09-24 10:00,2025-10-07 17:00
kuaimatiyu@163.com,,河北快马体育科技有限公司,✔️,,取消,8000/2000,石家庄·鹿泉半程马拉松赛,,,未提及,120/30,自行评估,0311-85870001,河北,B,,官网/微信/小程序 / 数字心动,,河北省红十字会三献工作事务中心 / 河北省红十字会备灾救灾救助中心 / 石家庄市红十字会 / 石家庄市鹿泉区人民政府,,,,报名时缴费,,半程 / 短距离,2025-09-23 00:00,10000,鹿泉半程马拉松,2025-09-05 10:00,2025-09-15 17:00
hzmb-halfmarathon@hkaaa.com,港珠澳大桥香港口岸,,✔️,,已结束,8000,港珠澳大橋（香港段）半馬拉松,,,未提及,610(US$65),未提及,(852)21772522,香港,HK / 金标 / AIMS,,官网/微信/小程序,,中国香港田径总会,,https://www.hzmb-halfmarathon.com/,2025-01-05 09:47,中签后缴费,无,半程,2024-08-05 10:04,8000,,2024-07-25 14:00,2024-08-01 18:00
linfenbanma@163.com,九州公园-九州广场,山西隆景体育有限公司,✔️,,取消,12000/6000,临汾半程马拉松,,,未提及,150/100,自行评估,4008014600,山西,A,,官网/微信/小程序,,临汾市人民政府,,,,报名时缴费,,半程 / 短距离,2025-08-22 00:00,18000,隆景体育,2025-07-07 15:00,2025-08-15 17:00
info@runthetrack.com,上海国际赛车场,北京中锐体育产业有限公司,❌,,已结束,6000/6000,蒸蒸日上迎新跑,,,未提及,269/150,未提及,,上海,A,,官网/微信/小程序 / 数字心动,,上海市嘉定区人民政府 / 上海久事体育产业发展（集团）有限公司 / 上海报业集团,,https://www.runthetrack.com,2025-01-01 17:41,报名时缴费,无,半程 / 短距离,,12000,蒸蒸日上,2024-11-14 10:00,2024-11-29 23:59
,张家界市贺龙体育中心,,❌,,取消,3000/8000/4000,张家界马拉松,,,未提及,150/100/40,自行评估,18569407629,湖南,A,,官网/微信/小程序 / 数字心动 / 最酷,,湖南省体育局 / 张家界市人民政府,,,,报名时缴费,10/2之前可以退出,全程 / 半程 / 短距离,,15000,湖南省田径协会,2025-08-05 17:00,2025-09-30 18:00
,滨湖大道,华舰体育赛事发展（山西）有限公司,✔️,,取消,2000/4000/4000,长治马拉松,,,未提及,150/120/80,自行评估,13393411261,山西,B,,官网/微信/小程序,https://docimg1.docs.qq.com/image/AgAACG-qqCHpFrE8BQ9AOJHEQVQ4_ZMv.jpeg?w=1280&h=1756,长治市人民政府,,,,报名时缴费,,全程 / 半程 / 短距离,2025-09-05 00:00,10000,华舰赛事,2025-08-13 10:00,2025-08-31 23:59
,,,,,待确定,,舟山群岛半程马拉松,,,,,,,浙江,标牌,,,,,,,,,,,,,,,
,增城广场,广州博润体育科技有限公司,❌,,已结束,15000/5000,粤港澳大湾区女子半程马拉松,,,未提及,188/68,未提及,13535360830,广东,B,,官网/微信/小程序 / 数字心动 / 马拉马拉,,广州市增城区人民政府,,,2025-01-01 09:30,报名时缴费,因个人原因放弃比赛的，2024年12月15日及之前可以全额退还报名费,半程 / 短距离,,20000,粤港澳大湾区女子半程马拉松、博润体育,2024-11-12 10:00,2024-12-06 22:00
info@oceanwidesports.com,RCEP徐闻菠萝国际采购交易中心,广州宽洋体育产业有限公司,✔️,,已结束,1000/2000/2000,徐闻马拉松,,,半程或以上,180/150/80,未提及,19903046020,广东,B,,官网/微信/小程序 / 数字心动,,徐闻县人民政府,,https://www.xuwenmarathon.com,2025-01-05 00:07,报名时缴费,无,全程 / 半程 / 短距离,2024-12-06 15:47,5000,宽洋体育、徐闻菠萝的海马拉松,2024-10-17 10:00,2024-11-29 16:00
jslsmls@163.com,致远路与涌泉路交叉口,江苏有迈体育发展股份有限公司,✔️,,已结束,7000/5000,南京溧水半程马拉松,,,未提及,120/60,自行评估,,江苏,A,,官网/微信/小程序 / 数字心动,,南京市溧水区人民政府,,http://www.jslsmls.com,2025-03-02 17:16,,,半程 / 短距离,2025-02-16 15:28,12000,南京溧水半程马拉松,2025-01-18 12:00,2025-02-10 18:00
,,,❌,,已结束,10000/9000/5000,臺南古都國際半程馬拉松,,,未提及,NT$1000/80/500,未提及,,台湾,CT / AIMS / WA,,官网/微信/小程序,,,,,2025-03-02 15:41,报名时缴费,,半程 / 10km / 短距离,,24000,,2024-10-21 12:00,2024-12-12 23:59
qy@gustomail.cn,清远体育馆,广东新中体育集团有限公司,✔️,,已结束,7000/8000/8000,清远马拉松赛,,,半程或以上,180/160/100,现场核验,,广东,A,,官网/微信/小程序 / 第一赛道,,清远市人民政府 ,,http://www.qy-marathon.com/,2025-03-16 09:50,报名时缴费,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2025年2月15日退费服务系统关闭，将不再受理任何退费申请。,全程 / 半程 / 短距离,2025-02-12 09:52,23000,第一赛道、清远马拉松,2024-12-31 10:00,2025-02-05 18:00
marathonhubei@126.com,荣怀学校,,✔️,,已结束,3000/5000/7000,仙桃马拉松,,,未提及,180/120/80,自行评估,19720273211,湖北,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网(马拉松报名),,湖北省体育局 / 仙桃市人民政府,,http://xiantao-marathon.com,2025-03-30 14:36,报名时缴费,无,全程 / 半程 / 短距离,2025-03-04 13:42,15000,仙桃体育,2025-01-27 16:00,2025-02-27 16:00
apply@wuhanmarathon.org,沿江大道与三阳路交叉口,武汉体育发展投资有限公司 / 武汉汉马体育管理有限公司,✔️,,已结束,15000/10000/15000,武汉马拉松,,,未提及,200/150/100,未提及,027-88712733,湖北,A / 金标 / CMM,,官网/微信/小程序 / 马拉马拉 / 数字心动,,武汉市人民政府 / 湖北省体育局,,https://www.wuhanmarathon.org,2025-03-23 10:48,中签后缴费,无,全程 / 半程 / 中距离,2024-12-20 16:12,40000,武汉马拉松,2024-11-27 10:00,2024-12-06 10:00
kefu@ihuipao.com,太湖西大道与隐秀路辅路交叉口,无锡汇跑体育有限公司,✔️,,已结束,25000/8000/2000,无锡马拉松,,,未提及,200/200/100,未提及,400-99-42195,江苏,A / 金标 / AIMS,,官网/微信/小程序,https://docimg4.docs.qq.com/image/AgAACG-qqCEXTUOefwlIAZQTYtt8HwWH.png?w=1080&h=1438,无锡市人民政府,,https://wuximarathon.com,2025-03-23 09:42,中签后缴费,,全程 / 半程 / 短距离,2025-01-10 09:08,35000,汇跑赛事,2024-12-27 10:00,2025-01-03 17:00
1512768748@qq.com,兰溪市府广场-府前广场,浙江青鸟捷出体育科技有限公司,❌,,已结束,5000/8000,浙江兰溪乡村半程马拉松赛,,,未提及,100/50,必须,13858990321,浙江,B,,官网/微信/小程序 / 最酷 / 润赛美佳 / 跑跑网(马拉松报名),,兰溪市人民政府 / 浙江省马拉松及路跑协会,,https://www.lxmarathon.com,2025-03-23 17:20,报名时缴费,无,半程 / 短距离,,13000,兰溪文旅,2025-01-10 10:00,2025-03-05 14:00
service@sportsnet.org.tw,,,❌,,已结束,500/5000/4500/2000,臺北國道馬拉松,,,竞速菁英马拉松组需4小时内马拉松完赛成绩,NT$1300/1100/800/600,未提及,(886)02-25855659,台湾,AIMS,,官网/微信/小程序,,"""中華民國路跑協會""",,https://www.taipeifreewaymarathon.com/,2025-03-09 15:41,报名时缴费,有,全程 / 半程 / 10km / 短距离,,12000,,,2025-02-04 17:00
